nombre,horario,ubicacion
Ragazzi Bistro,12:00-23:00,https://maps.app.goo.gl/XZVEvPVyzU6obYei6
Las Espadas- Brazilian Steakhouse,12:00-23:00,https://maps.app.goo.gl/C2uJyyT9qYmQTNgh6
Las Originales Carnes en su jugo Mely De La Torre,12:00-23:00,https://maps.app.goo.gl/RhaMCuJQhHuEjmn96
Buffalo Wild Wings,12:00-23:00,https://maps.app.goo.gl/XuLZnBRHsEojg4kg9
El carnes- Sucursal Colosio,11:30-02:30,https://maps.app.goo.gl/DxKkMf4nhfuSFSEC7
Carnitas San Pancho,09:00-17:30,https://maps.app.goo.gl/eGqUwhvtxCSKfmKs6
Las Planchitas-Av. Aguascalientes,08:00-15:00,https://maps.app.goo.gl/9mRr8cqhUZREfr7w8
La Roma Brunch- San Telmo,08:00-14:00,https://maps.app.goo.gl/4e5HN1RkxqZQyYjh8
Gordas Colosio,08:30-15:30,https://maps.app.goo.gl/fCYbCWN2evds5Xtt9
Tacos de Canasta-Colosio,09:00-14:00,https://maps.app.goo.gl/gsuDTWRXkbiCqo3Q9
YellowBerry,08:00-13:00,https://maps.app.goo.gl/zQqhWqN1JuqqJQKT9
So simple,08:30-15:00,https://maps.app.goo.gl/FMGxR8VBbXHHzRSn7
